,id_str,hashtags,urls,text,clean_text,created_at,lang,username,username_description,username_location,quote_count,reply_count,retweet_count,favorite_count,to_cache
0,1251883771521110016,"['chrissmalls', 'amazonstrike']",['https://twitter.com/i/web/status/1251883771521110016'],"@RBReich In solidarity with @Shut_downAmazon #ChrisSmalls and the #AmazonStrike movement, this film demands that Jeff Bezos treat his workers better and meet their demands during #Covid_19 https://t.co/RM2X8UbVt9",RBReich In solidarity with ShutdownAmazon ChrisSmalls and the AmazonStrike movement this film demands that Jeff Bezos treat his workers better and meet their demands during Covid,2020-04-19 14:42:04,en,Jared,"I tweet once ever 4 years to see what happens. So far, no good. ECD @matterunlimited","Brooklyn, NY",0,0,0,0,True
1,1249040648935792647,"['chrissmalls', 'amazonstrike']",['https://twitter.com/i/web/status/1249040648935792647'],"@CoryBooker @amazon In solidarity with @Shut_downAmazon #ChrisSmalls and the #AmazonStrike movement, we made this film to encourage Jeff Bezos to treat his workers better and meet their demands during #Covid_19 https://t.co/KIOF30sk8I",CoryBooker amazon In solidarity with ShutdownAmazon ChrisSmalls and the AmazonStrike movement we made this film to encourage Jeff Bezos to treat his workers better and meet their demands during Covid,2020-04-11 18:24:31,en,Jared,"I tweet once ever 4 years to see what happens. So far, no good. ECD @matterunlimited","Brooklyn, NY",0,0,0,0,True
2,1249148301519323137,"['chrissmalls', 'amazonstrike']",['https://twitter.com/i/web/status/1249148301519323137'],"@joshdzieza In solidarity with @Shut_downAmazon #ChrisSmalls and the #AmazonStrike movement, we made this film to encourage Jeff Bezos to treat his workers better and meet their demands during #Covid_19 https://t.co/ZOCj1fUOzc",joshdzieza In solidarity with ShutdownAmazon ChrisSmalls and the AmazonStrike movement we made this film to encourage Jeff Bezos to treat his workers better and meet their demands during Covid,2020-04-12 01:32:17,en,Jared,"I tweet once ever 4 years to see what happens. So far, no good. ECD @matterunlimited","Brooklyn, NY",0,0,0,0,True
3,1250435691042844673,"['chrissmalls', 'amazonstrike']",['https://twitter.com/i/web/status/1250435691042844673'],"@NaomiAKlein In solidarity with @Shut_downAmazon #ChrisSmalls and the #AmazonStrike movement, this film demands that Jeff Bezos treat his workers better and meet their demands during #Covid_19 https://t.co/GqhHZ4BkJ5",NaomiAKlein In solidarity with ShutdownAmazon ChrisSmalls and the AmazonStrike movement this film demands that Jeff Bezos treat his workers better and meet their demands during Covid,2020-04-15 14:47:55,en,Jared,"I tweet once ever 4 years to see what happens. So far, no good. ECD @matterunlimited","Brooklyn, NY",0,0,0,0,True
4,1249041760438935554,"['chrissmalls', 'amazonstrike']",['https://twitter.com/i/web/status/1249041760438935554'],"@nytimes @GiniaNYT In solidarity with @Shut_downAmazon #ChrisSmalls and the #AmazonStrike movement, we made this film to encourage Jeff Bezos to treat his workers better and meet their demands during #Covid_19 https://t.co/OhkGM8nPFk",nytimes GiniaNYT In solidarity with ShutdownAmazon ChrisSmalls and the AmazonStrike movement we made this film to encourage Jeff Bezos to treat his workers better and meet their demands during Covid,2020-04-11 18:28:56,en,Jared,"I tweet once ever 4 years to see what happens. So far, no good. ECD @matterunlimited","Brooklyn, NY",0,0,0,0,True
5,1251876255181484034,"['chrissmalls', 'amazonstrike']",['https://twitter.com/i/web/status/1251876255181484034'],"@BuzzFeedNews In solidarity with @Shut_downAmazon #ChrisSmalls and the #AmazonStrike movement, this film demands that Jeff Bezos treat his workers better and meet their demands during #Covid_19 https://t.co/sVC26hMzL8",BuzzFeedNews In solidarity with ShutdownAmazon ChrisSmalls and the AmazonStrike movement this film demands that Jeff Bezos treat his workers better and meet their demands during Covid,2020-04-19 14:12:12,en,Jared,"I tweet once ever 4 years to see what happens. So far, no good. ECD @matterunlimited","Brooklyn, NY",0,0,0,0,True
6,1249158523730173952,['chrissmalls'],['https://twitter.com/i/web/status/1249158523730173952'],"Jared (@timesuckage) Tweeted:
@nytimes @GiniaNYT In solidarity with @Shut_downAmazon #ChrisSmalls and the #AmazonStrike movement...encourage Jeff Bezos to treat his workers better and meet their demands during #Covid_19 https://t.co/3dU0zR98lV https://t.co/G1jpvIipIi",Jared timesuckage Tweeted nytimes GiniaNYT In solidarity with ShutdownAmazon ChrisSmalls and the AmazonStrike movementencourage Jeff Bezos to treat his workers better and meet their demands during Covid,2020-04-12 02:12:54,en,Heather Marie,,,0,0,0,0,True
