,id_str,hashtags,urls,text,clean_text,created_at,lang,username,username_description,username_location,quote_count,reply_count,retweet_count,favorite_count,to_cache
0,1250323768129413120,"['veryunfortunatenewsfrombpr', 'naidkhai', 'hajin']",['https://twitter.com/i/web/status/1250323768129413120'],"#VeryUnfortunateNewsFromBPR Milkman was found Coronavirus positive in #naidkhai #hajin bandipora yesterday,however medical teams have been deputed to trace the contacts.He was delivering and selling milk for long in the area,please cooperate with authorities to find his contacts.",VeryUnfortunateNewsFromBPR Milkman was found Coronavirus positive in naidkhai hajin bandipora yesterdayhowever medical teams have been deputed to trace the contactsHe was delivering and selling milk for long in the areaplease cooperate with authorities to find his contacts,2020-04-15 07:23:10,en,iRFanQurashiE عرفان قریشی,"Writer|Journalist /newspage owner| youtuber|namehttps://www.facebook.com



لَّا إِلَٰهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ",Srinagar Kashmir,0,0,0,0,True
1,1250321566841180163,"['concern', 'naidkhai', 'hajin']",['https://twitter.com/i/web/status/1250321566841180163'],"#Concern:Milkman was found Coronavirus positive in #naidkhai #hajin bandipora yesterday,however medical teams have been deputed to trace the contacts.He was delivering and selling milk for long in the area,please cooperate with authorities to find his contacts.",ConcernMilkman was found Coronavirus positive in naidkhai hajin bandipora yesterdayhowever medical teams have been deputed to trace the contactsHe was delivering and selling milk for long in the areaplease cooperate with authorities to find his contacts,2020-04-15 07:14:26,en,Shahid Imran,"Shahid Imran is an Editor-in -Chief of @Kashmircrownews Media Group,English Newspaper,Digital Tv And NO1 Online News service Of J&K.Anchor GOOD Morning Show.",Jammu and Kashmir,0,0,3,6,True
2,1250322888592261121,"['naidkhai', 'hajin']",['https://twitter.com/i/web/status/1250322888592261121'],"Milkman was found Covid19 Positive in #naidkhai #hajin bandipora yesterday,however medical teams have been deputed to trace the contacts. Please Cooperate With The authorities.
@listenshahid @bandiporapolice @ddcoffice",Milkman was found Covid Positive in naidkhai hajin bandipora yesterdayhowever medical teams have been deputed to trace the contacts Please Cooperate With The authorities listenshahid bandiporapolice ddcoffice,2020-04-15 07:19:41,en,Umar Sofi,"Believe In My Self Is Best Thing I Have.                   
       👉 Hate Two Faced People 👈
Wish Me On 9 Oct  👑
Working With @JKNC @Pattan",Jammu And Kashmir,0,0,0,0,True
3,1250325409981296641,"['concern', 'naidkhai', 'hajin']",['https://twitter.com/i/web/status/1250325409981296641'],"#Concern:Milkman was found Coronavirus positive in #naidkhai #hajin bandipora yesterday,however medical teams have been deputed to trace the contacts.He was delivering and selling milk for long in the area,plz cooperate with authorities to find his contacts.
@ApniPartyYouth",ConcernMilkman was found Coronavirus positive in naidkhai hajin bandipora yesterdayhowever medical teams have been deputed to trace the contactsHe was delivering and selling milk for long in the areaplz cooperate with authorities to find his contacts ApniPartyYouth,2020-04-15 07:29:42,en,Raqeeq Ahmed Khan,"Former State President @nsui Jammu and Kashmir @apnipartyonline
 ll Son of the soil(Mendhar)ll Wanderer ll RTs are not endorsements",Jammu And Kashmir,0,0,4,12,True
4,1250324946296778752,"['naidkhai', 'hajin']",['https://twitter.com/i/web/status/1250324946296778752'],"@rifatabdullahh UnfortunateNewsfrBandipora 
Milkman was found Coronavirus positive in #naidkhai #hajin bandipora yesterday,however medical teams have been deputed to trace the contacts.He was delivering and selling milk for long in the area,please cooperate with authorities to find his contacts.",rifatabdullahh UnfortunateNewsfrBandipora Milkman was found Coronavirus positive in naidkhai hajin bandipora yesterdayhowever medical teams have been deputed to trace the contactsHe was delivering and selling milk for long in the areaplease cooperate with authorities to find his contacts,2020-04-15 07:27:51,en,iRFanQurashiE عرفان قریشی,"Writer|Journalist /newspage owner| youtuber|namehttps://www.facebook.com



لَّا إِلَٰهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ",Srinagar Kashmir,0,0,0,0,True
5,1250321377577406464,"['concern', 'naidkhai', 'hajin']",['https://twitter.com/i/web/status/1250321377577406464'],"#Concern:Milkman was found Coronavirus positive in #naidkhai #hajin bandipora yesterday,however medical teams have been deputed to trace the contacts.He was delivering and selling milk for long in the area.",ConcernMilkman was found Coronavirus positive in naidkhai hajin bandipora yesterdayhowever medical teams have been deputed to trace the contactsHe was delivering and selling milk for long in the area,2020-04-15 07:13:40,en,Shahid Imran,"Shahid Imran is an Editor-in -Chief of @Kashmircrownews Media Group,English Newspaper,Digital Tv And NO1 Online News service Of J&K.Anchor GOOD Morning Show.",Jammu and Kashmir,0,0,0,0,True
