,id_str,hashtags,urls,text,clean_text,created_at,lang,username,username_description,username_location,quote_count,reply_count,retweet_count,favorite_count,to_cache
0,1247756288919924740,"['indianeedpsus', 'psusbackboneofindia', 'indianpsusfightscorona']",['https://twitter.com/i/web/status/1247756288919924740'],"#IndiaNeedPSUs #PSUsBackboneOfIndia #IndianPSUsFightsCorona @PMOIndia  . Telecom CPSEs such as BSNL, MTNL   r ensuring uninterrupted connectivity and internet services across the country.IOCL, BPCL, GAIL are ensuring continuous supply of LPG and fuel. https://t.co/hJKUDgXZYn",IndiaNeedPSUs PSUsBackboneOfIndia IndianPSUsFightsCorona PMOIndia Telecom CPSEs such as BSNL MTNL r ensuring uninterrupted connectivity and internet services across the countryIOCL BPCL GAIL are ensuring continuous supply of LPG and fuel,2020-04-08 05:20:56,en,R K Deepak,"Loves discussion on #Telecommunications,#indianrailways & #Infra.All views are Personal.RTs are not Endorsements.Nationalist",India,0,0,0,0,True
1,1247759171539238915,"['indianeedpsus', 'psusbackboneofindia', 'indianpsusfightscorona']",['https://twitter.com/i/web/status/1247759171539238915'],"#IndiaNeedPSUs #PSUsBackboneOfIndia #IndianPSUsFightsCorona @PMOIndia  Telecom CPSEs  BSNL, MTNL are ensuring uninterrupted connectivity across the country. Our corona warriors are making sure that services to Govt Dept and Public are delivered on time.
 https://t.co/2ck3lAHePd",IndiaNeedPSUs PSUsBackboneOfIndia IndianPSUsFightsCorona PMOIndia Telecom CPSEs BSNL MTNL are ensuring uninterrupted connectivity across the country Our corona warriors are making sure that services to Govt Dept and Public are delivered on time,2020-04-08 05:32:23,en,BSNL recruits for BSNL Revival,We are voice for 30K BSNL recruited employees who want to contribute towards revival of BSNL.,INDIA,2,1,25,22,True
2,1247763578142076928,"['indianeedpsus', 'psusbackboneofindia', 'indianpsusfightscorona']",['https://twitter.com/i/web/status/1247763578142076928'],"#IndiaNeedPSUs #PSUsBackboneOfIndia #IndianPSUsFightsCorona @PMOIndia  Telecom CPSEs  BSNL, MTNL are ensuring uninterrupted connectivity across the country. Our corona warriors are making sure that services to Govt Dept and Public are delivered on time.
 https://t.co/kb4Eccvn2g",IndiaNeedPSUs PSUsBackboneOfIndia IndianPSUsFightsCorona PMOIndia Telecom CPSEs BSNL MTNL are ensuring uninterrupted connectivity across the country Our corona warriors are making sure that services to Govt Dept and Public are delivered on time,2020-04-08 05:49:54,en,Manohar Kumar Sharma,,NEW DELHI,0,0,1,0,True
3,1247769810676506625,"['psusbackboneofindia', 'indianpsusfightscorona']",['https://twitter.com/i/web/status/1247769810676506625'],"#PSUsBackboneOfIndia #IndianPSUsFightsCorona @PMOIndia  Telecom CPSEs  BSNL, MTNL   are providing uninterrupted connectivity and internet services across the country.IOCL, BPCL &amp; GAIL are ensuring continuous supply of LPG and fuel. #IndiaNeedPSUs https://t.co/PyV3To1ayP",PSUsBackboneOfIndia IndianPSUsFightsCorona PMOIndia Telecom CPSEs BSNL MTNL are providing uninterrupted connectivity and internet services across the countryIOCL BPCL amp GAIL are ensuring continuous supply of LPG and fuel IndiaNeedPSUs,2020-04-08 06:14:39,en,CoolGuy,,"Kolkata, India",0,0,0,0,True
4,1247821379505770497,"['psusbackboneofindia', 'indianpsusfightscorona']",['https://twitter.com/i/web/status/1247821379505770497'],"#PSUsBackboneOfIndia #IndianPSUsFightsCorona IOCL, BPCL &amp; GAIL are ensuring continuous supply of LPG and fuel.Telecom CPSEs  BSNL, MTNL  are providing uninterrupted connectivity and internet services across the country. #IndiaNeedPSUs https://t.co/R4J9kP0CGw",PSUsBackboneOfIndia IndianPSUsFightsCorona IOCL BPCL amp GAIL are ensuring continuous supply of LPG and fuelTelecom CPSEs BSNL MTNL are providing uninterrupted connectivity and internet services across the country IndiaNeedPSUs,2020-04-08 09:39:34,en,Shailendra Kumar Sinha,"Secretary, IOOA PRPC, Sr. Manager, Indian Oil, BIT Sindri, Mech. Tweets purely personal. RTs not endorsement.","Panipat, India",0,0,0,0,True
5,1247757793022472194,"['psusbackboneofindia', 'indianpsusfightscorona']",['https://twitter.com/i/web/status/1247757793022472194'],"#PSUsBackboneOfIndia #IndianPSUsFightsCorona @PMOIndia  Telecom CPSEs  BSNL, MTNL   are providing uninterrupted connectivity and internet services across the country.IOCL, BPCL &amp; GAIL are ensuring continuous supply of LPG and fuel. #IndiaNeedPSUs https://t.co/hJKUDgXZYn",PSUsBackboneOfIndia IndianPSUsFightsCorona PMOIndia Telecom CPSEs BSNL MTNL are providing uninterrupted connectivity and internet services across the countryIOCL BPCL amp GAIL are ensuring continuous supply of LPG and fuel IndiaNeedPSUs,2020-04-08 05:26:54,en,R K Deepak,"Loves discussion on #Telecommunications,#indianrailways & #Infra.All views are Personal.RTs are not Endorsements.Nationalist",India,1,0,22,20,True
6,1247830862760009729,"['indianeedpsus', 'psusbackboneofindia', 'indianpsusfightscorona']",['https://twitter.com/i/web/status/1247830862760009729'],"#IndiaNeedPSUs #PSUsBackboneOfIndia #IndianPSUsFightsCorona @PMOIndia  Telecom CPSEs  BSNL, MTNL are ensuring uninterrupted connectivity across the country. Our corona warriors are making sure that services to Govt Dept and Public are delivered on time.
 https://t.co/oMNNKij5A4",IndiaNeedPSUs PSUsBackboneOfIndia IndianPSUsFightsCorona PMOIndia Telecom CPSEs BSNL MTNL are ensuring uninterrupted connectivity across the country Our corona warriors are making sure that services to Govt Dept and Public are delivered on time,2020-04-08 10:17:15,en,aNooP pATeL,,"Jabalpur Madhya Pradesh, India",0,0,0,0,True
