app_name,datetime,value
ch_swisscovid,2020-07-09,3
ch_swisscovid,2020-07-10,8
ch_swisscovid,2020-07-11,5
ch_swisscovid,2020-07-12,3
ch_swisscovid,2020-07-13,15
ch_swisscovid,2020-07-14,2
ch_swisscovid,2020-07-15,6
ch_swisscovid,2020-07-16,5
ch_swisscovid,2020-07-17,8
ch_swisscovid,2020-07-18,2
ch_swisscovid,2020-07-19,0
ch_swisscovid,2020-07-20,9
ch_swisscovid,2020-07-21,7
ch_swisscovid,2020-07-22,9
ch_swisscovid,2020-07-23,19
ch_swisscovid,2020-07-24,3
ch_swisscovid,2020-07-25,0
ch_swisscovid,2020-07-26,3
ch_swisscovid,2020-07-27,5
ch_swisscovid,2020-07-28,2
ch_swisscovid,2020-07-29,5
ch_swisscovid,2020-07-30,2
ch_swisscovid,2020-07-31,6
ch_swisscovid,2020-08-01,4
ch_swisscovid,2020-08-02,0
ch_swisscovid,2020-08-03,3
ch_swisscovid,2020-08-04,5
ch_swisscovid,2020-08-05,3
ch_swisscovid,2020-08-06,3
ch_swisscovid,2020-08-07,3
ch_swisscovid,2020-08-08,1
ch_swisscovid,2020-08-09,0
ch_swisscovid,2020-08-10,0
ch_swisscovid,2020-08-11,2
ch_swisscovid,2020-08-12,3
ch_swisscovid,2020-08-13,4
ch_swisscovid,2020-08-14,2
ch_swisscovid,2020-08-15,1
ch_swisscovid,2020-08-16,2
ch_swisscovid,2020-08-17,2
ch_swisscovid,2020-08-18,3
ch_swisscovid,2020-08-19,1
ch_swisscovid,2020-08-20,1
ch_swisscovid,2020-08-21,1
ch_swisscovid,2020-08-22,1
ch_swisscovid,2020-08-23,0
ch_swisscovid,2020-08-24,2
ch_swisscovid,2020-08-25,1
ch_swisscovid,2020-08-26,2
ch_swisscovid,2020-08-27,1
ch_swisscovid,2020-08-28,9
ch_swisscovid,2020-08-29,4
ch_swisscovid,2020-08-30,4
ch_swisscovid,2020-08-31,1
ch_swisscovid,2020-09-01,1
ch_swisscovid,2020-09-02,9
ch_swisscovid,2020-09-03,4
ch_swisscovid,2020-09-04,7
ch_swisscovid,2020-09-05,1
ch_swisscovid,2020-09-06,0
ch_swisscovid,2020-09-07,1
ch_swisscovid,2020-09-08,0
ch_swisscovid,2020-09-09,1
ch_swisscovid,2020-09-10,2
ch_swisscovid,2020-09-11,1
ch_swisscovid,2020-09-12,1
ch_swisscovid,2020-09-13,5
ch_swisscovid,2020-09-14,6
ch_swisscovid,2020-09-15,2
ch_swisscovid,2020-09-16,0
ch_swisscovid,2020-09-17,2
ch_swisscovid,2020-09-18,3
